название,ссылка
mus_1,https://www.youtube.com/watch?v=elAxW_LAawU
mus_2,https://www.youtube.com/watch?v=6yYvb_skvKs
mus_3,https://www.youtube.com/watch?v=7YmNvCy30FU
lm,https://www.youtube.com/watch?v=wadI2t6hGvo
mus_4,https://www.youtube.com/watch?v=nRN97USjh08
mus_5,https://www.youtube.com/watch?v=1uRvrc1um8M
